"","Symbol","Security","Sector"
"1","MMM","3M Company","Industrials"
"2","ABT","Abbott Laboratories","Health Care"
"3","ABBV","AbbVie Inc.","Health Care"
"4","ABMD","ABIOMED Inc","Health Care"
"5","ACN","Accenture plc","Information Technology"
"6","ATVI","Activision Blizzard","Communication Services"
"7","ADBE","Adobe Inc.","Information Technology"
"8","AMD","Advanced Micro Devices Inc","Information Technology"
"9","AAP","Advance Auto Parts","Consumer Discretionary"
"10","AES","AES Corp","Utilities"
"11","AFL","AFLAC Inc","Financials"
"12","A","Agilent Technologies Inc","Health Care"
"13","APD","Air Products & Chemicals Inc","Materials"
"14","AKAM","Akamai Technologies Inc","Information Technology"
"15","ALK","Alaska Air Group Inc","Industrials"
"16","ALB","Albemarle Corp","Materials"
"17","ARE","Alexandria Real Estate Equities","Real Estate"
"18","ALXN","Alexion Pharmaceuticals","Health Care"
"19","ALGN","Align Technology","Health Care"
"20","ALLE","Allegion","Industrials"
"21","AGN","Allergan, plc","Health Care"
"22","ADS","Alliance Data Systems","Information Technology"
"23","LNT","Alliant Energy Corp","Utilities"
"24","ALL","Allstate Corp","Financials"
"25","GOOGL","Alphabet Inc Class A","Communication Services"
"26","GOOG","Alphabet Inc Class C","Communication Services"
"27","MO","Altria Group Inc","Consumer Staples"
"28","AMZN","Amazon.com Inc.","Consumer Discretionary"
"29","AMCR","Amcor plc","Materials"
"30","AEE","Ameren Corp","Utilities"
"31","AAL","American Airlines Group","Industrials"
"32","AEP","American Electric Power","Utilities"
"33","AXP","American Express Co","Financials"
"34","AIG","American International Group","Financials"
"35","AMT","American Tower Corp.","Real Estate"
"36","AWK","American Water Works Company Inc","Utilities"
"37","AMP","Ameriprise Financial","Financials"
"38","ABC","AmerisourceBergen Corp","Health Care"
"39","AME","AMETEK Inc.","Industrials"
"40","AMGN","Amgen Inc.","Health Care"
"41","APH","Amphenol Corp","Information Technology"
"42","ADI","Analog Devices, Inc.","Information Technology"
"43","ANSS","ANSYS","Information Technology"
"44","ANTM","Anthem","Health Care"
"45","AON","Aon plc","Financials"
"46","AOS","A.O. Smith Corp","Industrials"
"47","APA","Apache Corporation","Energy"
"48","AIV","Apartment Investment & Management","Real Estate"
"49","AAPL","Apple Inc.","Information Technology"
"50","AMAT","Applied Materials Inc.","Information Technology"
"51","APTV","Aptiv PLC","Consumer Discretionary"
"52","ADM","Archer-Daniels-Midland Co","Consumer Staples"
"53","ANET","Arista Networks","Information Technology"
"54","AJG","Arthur J. Gallagher & Co.","Financials"
"55","AIZ","Assurant","Financials"
"56","T","AT&T Inc.","Communication Services"
"57","ATO","Atmos Energy","Utilities"
"58","ADSK","Autodesk Inc.","Information Technology"
"59","ADP","Automatic Data Processing","Information Technology"
"60","AZO","AutoZone Inc","Consumer Discretionary"
"61","AVB","AvalonBay Communities, Inc.","Real Estate"
"62","AVY","Avery Dennison Corp","Materials"
"63","BKR","Baker Hughes Co","Energy"
"64","BLL","Ball Corp","Materials"
"65","BAC","Bank of America Corp","Financials"
"66","BK","The Bank of New York Mellon Corp.","Financials"
"67","BAX","Baxter International Inc.","Health Care"
"68","BDX","Becton Dickinson","Health Care"
"69","BRK.B","Berkshire Hathaway","Financials"
"70","BBY","Best Buy Co. Inc.","Consumer Discretionary"
"71","BIIB","Biogen Inc.","Health Care"
"72","BLK","BlackRock","Financials"
"73","BA","Boeing Company","Industrials"
"74","BKNG","Booking Holdings Inc","Consumer Discretionary"
"75","BWA","BorgWarner","Consumer Discretionary"
"76","BXP","Boston Properties","Real Estate"
"77","BSX","Boston Scientific","Health Care"
"78","BMY","Bristol-Myers Squibb","Health Care"
"79","AVGO","Broadcom Inc.","Information Technology"
"80","BR","Broadridge Financial Solutions","Information Technology"
"81","BF.B","Brown-Forman Corp.","Consumer Staples"
"82","CHRW","C. H. Robinson Worldwide","Industrials"
"83","COG","Cabot Oil & Gas","Energy"
"84","CDNS","Cadence Design Systems","Information Technology"
"85","CPB","Campbell Soup","Consumer Staples"
"86","COF","Capital One Financial","Financials"
"87","CPRI","Capri Holdings","Consumer Discretionary"
"88","CAH","Cardinal Health Inc.","Health Care"
"89","KMX","Carmax Inc","Consumer Discretionary"
"90","CCL","Carnival Corp.","Consumer Discretionary"
"91","CARR","Carrier Global","Industrials"
"92","CAT","Caterpillar Inc.","Industrials"
"93","CBOE","Cboe Global Markets","Financials"
"94","CBRE","CBRE Group","Real Estate"
"95","CDW","CDW","Information Technology"
"96","CE","Celanese","Materials"
"97","CNC","Centene Corporation","Health Care"
"98","CNP","CenterPoint Energy","Utilities"
"99","CTL","CenturyLink Inc","Communication Services"
"100","CERN","Cerner","Health Care"
"101","CF","CF Industries Holdings Inc","Materials"
"102","SCHW","Charles Schwab Corporation","Financials"
"103","CHTR","Charter Communications","Communication Services"
"104","CVX","Chevron Corp.","Energy"
"105","CMG","Chipotle Mexican Grill","Consumer Discretionary"
"106","CB","Chubb Limited","Financials"
"107","CHD","Church & Dwight","Consumer Staples"
"108","CI","CIGNA Corp.","Health Care"
"109","CINF","Cincinnati Financial","Financials"
"110","CTAS","Cintas Corporation","Industrials"
"111","CSCO","Cisco Systems","Information Technology"
"112","C","Citigroup Inc.","Financials"
"113","CFG","Citizens Financial Group","Financials"
"114","CTXS","Citrix Systems","Information Technology"
"115","CLX","The Clorox Company","Consumer Staples"
"116","CME","CME Group Inc.","Financials"
"117","CMS","CMS Energy","Utilities"
"118","KO","Coca-Cola Company","Consumer Staples"
"119","CTSH","Cognizant Technology Solutions","Information Technology"
"120","CL","Colgate-Palmolive","Consumer Staples"
"121","CMCSA","Comcast Corp.","Communication Services"
"122","CMA","Comerica Inc.","Financials"
"123","CAG","Conagra Brands","Consumer Staples"
"124","CXO","Concho Resources","Energy"
"125","COP","ConocoPhillips","Energy"
"126","ED","Consolidated Edison","Utilities"
"127","STZ","Constellation Brands","Consumer Staples"
"128","COO","The Cooper Companies","Health Care"
"129","CPRT","Copart Inc","Industrials"
"130","GLW","Corning Inc.","Information Technology"
"131","CTVA","Corteva","Materials"
"132","COST","Costco Wholesale Corp.","Consumer Staples"
"133","COTY","Coty, Inc","Consumer Staples"
"134","CCI","Crown Castle International Corp.","Real Estate"
"135","CSX","CSX Corp.","Industrials"
"136","CMI","Cummins Inc.","Industrials"
"137","CVS","CVS Health","Health Care"
"138","DHI","D. R. Horton","Consumer Discretionary"
"139","DHR","Danaher Corp.","Health Care"
"140","DRI","Darden Restaurants","Consumer Discretionary"
"141","DVA","DaVita Inc.","Health Care"
"142","DE","Deere & Co.","Industrials"
"143","DAL","Delta Air Lines Inc.","Industrials"
"144","XRAY","Dentsply Sirona","Health Care"
"145","DVN","Devon Energy","Energy"
"146","FANG","Diamondback Energy","Energy"
"147","DLR","Digital Realty Trust Inc","Real Estate"
"148","DFS","Discover Financial Services","Financials"
"149","DISCA","Discovery Inc. Class A","Communication Services"
"150","DISCK","Discovery Inc. Class C","Communication Services"
"151","DISH","Dish Network","Communication Services"
"152","DG","Dollar General","Consumer Discretionary"
"153","DLTR","Dollar Tree","Consumer Discretionary"
"154","D","Dominion Energy","Utilities"
"155","DOV","Dover Corporation","Industrials"
"156","DOW","Dow Inc.","Materials"
"157","DTE","DTE Energy Co.","Utilities"
"158","DUK","Duke Energy","Utilities"
"159","DRE","Duke Realty Corp","Real Estate"
"160","DD","DuPont de Nemours Inc","Materials"
"161","DXC","DXC Technology","Information Technology"
"162","ETFC","E*Trade","Financials"
"163","EMN","Eastman Chemical","Materials"
"164","ETN","Eaton Corporation","Industrials"
"165","EBAY","eBay Inc.","Consumer Discretionary"
"166","ECL","Ecolab Inc.","Materials"
"167","EIX","Edison Int'l","Utilities"
"168","EW","Edwards Lifesciences","Health Care"
"169","EA","Electronic Arts","Communication Services"
"170","EMR","Emerson Electric Company","Industrials"
"171","ETR","Entergy Corp.","Utilities"
"172","EOG","EOG Resources","Energy"
"173","EFX","Equifax Inc.","Industrials"
"174","EQIX","Equinix","Real Estate"
"175","EQR","Equity Residential","Real Estate"
"176","ESS","Essex Property Trust, Inc.","Real Estate"
"177","EL","Est¨¦e Lauder Companies","Consumer Staples"
"178","EVRG","Evergy","Utilities"
"179","ES","Eversource Energy","Utilities"
"180","RE","Everest Re Group Ltd.","Financials"
"181","EXC","Exelon Corp.","Utilities"
"182","EXPE","Expedia Group","Consumer Discretionary"
"183","EXPD","Expeditors","Industrials"
"184","EXR","Extra Space Storage","Real Estate"
"185","XOM","Exxon Mobil Corp.","Energy"
"186","FFIV","F5 Networks","Information Technology"
"187","FB","Facebook, Inc.","Communication Services"
"188","FAST","Fastenal Co","Industrials"
"189","FRT","Federal Realty Investment Trust","Real Estate"
"190","FDX","FedEx Corporation","Industrials"
