"","date","OAS","TED","TreasurySpread"
"1",2005-04-22,3.86,0.3,0.64
"2",2005-04-25,3.88,0.3,0.62
"3",2005-04-26,3.92,0.33,0.61
"4",2005-04-27,4.04,0.36,0.61
"5",2005-04-28,4.16,0.39,0.6
"6",2005-04-29,4.15,0.37,0.55
"7",2005-05-03,4.13,0.37,0.53
"8",2005-05-04,4.12,0.41,0.57
"9",2005-05-05,4.13,0.48,0.61
"10",2005-05-06,4.07,0.43,0.55
"11",2005-05-09,4.05,0.39,0.53
"12",2005-05-10,4.13,0.41,0.54
"13",2005-05-11,4.23,0.45,0.53
"14",2005-05-12,4.28,0.45,0.52
"15",2005-05-13,4.39,0.51,0.51
"16",2005-05-16,4.49,0.43,0.52
"17",2005-05-17,4.57,0.45,0.51
"18",2005-05-18,4.55,0.48,0.51
"19",2005-05-19,4.4,0.47,0.47
"20",2005-05-20,4.33,0.46,0.44
"21",2005-05-23,4.29,0.38,0.42
"22",2005-05-24,4.28,0.42,0.43
"23",2005-05-25,4.16,0.42,0.47
"24",2005-05-26,4.07,0.44,0.44
"25",2005-05-27,4.02,0.43,0.44
"26",2005-05-31,4.13,0.41,0.4
"27",2005-06-01,4.13,0.44,0.41
"28",2005-06-02,4,0.44,0.37
"29",2005-06-03,3.9,0.42,0.41
"30",2005-06-06,3.99,0.41,0.37
"31",2005-06-07,3.99,0.41,0.35
"32",2005-06-08,3.98,0.42,0.35
"33",2005-06-09,4.01,0.46,0.34
"34",2005-06-10,3.91,0.46,0.34
"35",2005-06-13,3.88,0.44,0.38
"36",2005-06-14,3.83,0.46,0.42
"37",2005-06-15,3.78,0.48,0.4
"38",2005-06-16,3.83,0.52,0.39
"39",2005-06-17,3.81,0.52,0.37
"40",2005-06-20,3.81,0.48,0.39
"41",2005-06-21,3.82,0.49,0.35
"42",2005-06-22,3.9,0.49,0.33
"43",2005-06-23,3.88,0.47,0.33
"44",2005-06-24,3.93,0.46,0.33
"45",2005-06-27,3.96,0.39,0.3
"46",2005-06-28,3.86,0.41,0.32
"47",2005-06-29,3.81,0.44,0.34
"48",2005-06-30,3.85,0.46,0.28
"49",2005-07-01,3.75,0.43,0.3
"50",2005-07-05,3.71,0.4,0.32
"51",2005-07-06,3.75,0.44,0.31
"52",2005-07-07,3.78,0.47,0.34
"53",2005-07-08,3.67,0.46,0.33
"54",2005-07-11,3.61,0.44,0.3
"55",2005-07-12,3.54,0.44,0.33
"56",2005-07-13,3.51,0.45,0.33
"57",2005-07-14,3.46,0.45,0.33
"58",2005-07-15,3.43,0.43,0.32
"59",2005-07-18,3.4,0.39,0.33
"60",2005-07-19,3.43,0.39,0.32
"61",2005-07-20,3.43,0.41,0.27
"62",2005-07-21,3.36,0.38,0.32
"63",2005-07-22,3.39,0.36,0.31
"64",2005-07-25,3.36,0.29,0.3
"65",2005-07-26,3.35,0.31,0.29
"66",2005-07-27,3.31,0.35,0.28
"67",2005-07-28,3.33,0.36,0.24
"68",2005-07-29,3.25,0.36,0.26
"69",2005-08-01,3.29,0.3,0.28
"70",2005-08-02,3.29,0.31,0.28
"71",2005-08-03,3.32,0.35,0.28
"72",2005-08-04,3.31,0.36,0.28
"73",2005-08-05,3.29,0.31,0.29
"74",2005-08-08,3.31,0.29,0.26
"75",2005-08-09,3.33,0.34,0.28
"76",2005-08-10,3.32,0.35,0.27
"77",2005-08-11,3.37,0.36,0.22
"78",2005-08-12,3.42,0.35,0.19
"79",2005-08-15,3.37,0.33,0.19
"80",2005-08-16,3.41,0.34,0.2
"81",2005-08-17,3.37,0.37,0.21
"82",2005-08-18,3.41,0.4,0.2
"83",2005-08-19,3.39,0.38,0.18
"84",2005-08-22,3.39,0.37,0.19
"85",2005-08-23,3.4,0.38,0.19
"86",2005-08-24,3.38,0.39,0.2
"87",2005-08-25,3.38,0.4,0.18
"88",2005-08-26,3.34,0.39,0.14
"89",2005-08-30,3.48,0.41,0.19
"90",2005-08-31,3.66,0.43,0.18
"91",2005-09-01,3.7,0.46,0.3
"92",2005-09-02,3.7,0.38,0.28
"93",2005-09-06,3.64,0.34,0.29
"94",2005-09-07,3.61,0.39,0.28
"95",2005-09-08,3.59,0.43,0.28
"96",2005-09-09,3.59,0.44,0.26
"97",2005-09-12,3.55,0.42,0.26
"98",2005-09-13,3.58,0.47,0.26
"99",2005-09-14,3.57,0.52,0.27
"100",2005-09-15,3.55,0.52,0.32
